zona,tendencia,edad,sexo,aprobacion_presidencial,word,peso
Santiago,Centro,55 o+,Hombre,Desaprueba,impuesto,1.37773
Santiago,Centro,55 o+,Hombre,Desaprueba,impuestos,1.37773
Santiago,Centro,55 o+,Hombre,Desaprueba,informacion,1.37773
Santiago,Centro,55 o+,Hombre,Desaprueba,larga,1.17884
Santiago,Centro,55 o+,Hombre,Desaprueba,letra,3.10602
Santiago,Centro,55 o+,Hombre,Desaprueba,leyes,1.17884
Santiago,Centro,55 o+,Hombre,Desaprueba,manejo,1.37773
Santiago,Centro,55 o+,Hombre,Desaprueba,medida,1.17884
Santiago,Centro,55 o+,Hombre,Desaprueba,mes,1.55301
Santiago,Centro,55 o+,Hombre,Desaprueba,minimiza,1.37773
Santiago,Centro,55 o+,Hombre,Desaprueba,miseria,1.55301
Santiago,Centro,55 o+,Hombre,Desaprueba,nombre,1.55301
Santiago,Centro,55 o+,Hombre,Desaprueba,obrero,1.55301
Santiago,Centro,55 o+,Hombre,Desaprueba,oro,3.10602
Santiago,Centro,55 o+,Hombre,Desaprueba,pagan,1.55301
Santiago,Centro,55 o+,Hombre,Desaprueba,pagaron,1.55301
Santiago,Centro,55 o+,Hombre,Desaprueba,partidos,1.17884
Santiago,Centro,55 o+,Hombre,Desaprueba,perdiendo,1.55301
Santiago,Centro,55 o+,Hombre,Desaprueba,persona,3.10602
Santiago,Centro,55 o+,Hombre,Desaprueba,personas,1.55301
Santiago,Centro,55 o+,Hombre,Desaprueba,practica,1.55301
Santiago,Centro,55 o+,Hombre,Desaprueba,preocupan,1.55301
Santiago,Centro,55 o+,Hombre,Desaprueba,presupuesto,1.37773
Santiago,Centro,55 o+,Hombre,Desaprueba,problema,1.17884
Santiago,Centro,55 o+,Hombre,Desaprueba,profesional,1.55301
Santiago,Centro,55 o+,Hombre,Desaprueba,promesas,1.3987
Santiago,Centro,55 o+,Hombre,Desaprueba,proteccion,1.55301
Santiago,Centro,55 o+,Hombre,Desaprueba,pudimos,1.55301
Santiago,Centro,55 o+,Hombre,Desaprueba,puntos,1.55301
Santiago,Centro,55 o+,Hombre,Desaprueba,quede,1.55301
Santiago,Centro,55 o+,Hombre,Desaprueba,quintero,1.17884
Santiago,Centro,55 o+,Hombre,Desaprueba,razón,1.55301
Santiago,Centro,55 o+,Hombre,Desaprueba,recibir,1.55301
Santiago,Centro,55 o+,Hombre,Desaprueba,reclamar,1.55301
Santiago,Centro,55 o+,Hombre,Desaprueba,regia,1.55301
Santiago,Centro,55 o+,Hombre,Desaprueba,resolver,1.17884
Santiago,Centro,55 o+,Hombre,Desaprueba,respuesta,1.3987
Santiago,Centro,55 o+,Hombre,Desaprueba,resulta,1.55301
Santiago,Centro,55 o+,Hombre,Desaprueba,ricos,1.37773
Santiago,Centro,55 o+,Hombre,Desaprueba,salud,1.37773
Santiago,Centro,55 o+,Hombre,Desaprueba,social,3.10602
Santiago,Centro,55 o+,Hombre,Desaprueba,supone,1.17884
Santiago,Centro,55 o+,Hombre,Desaprueba,teniamos,1.55301
Santiago,Centro,55 o+,Hombre,Desaprueba,todabia,1.17884
Santiago,Centro,55 o+,Hombre,Desaprueba,vulnerables,1.55301
Santiago,Centro,55 o+,Mujer,Aprueba,anbiente,1.31789
Santiago,Centro,55 o+,Mujer,Aprueba,economia,1.31789
Santiago,Centro,55 o+,Mujer,Aprueba,educacion,1.31789
Santiago,Centro,55 o+,Mujer,Aprueba,prente,1.31789
Santiago,Centro,55 o+,Mujer,Aprueba,preocupa,1.31789
