aprobacion_presidencial,word,n
Desaprueba,coin,1.60245
Desaprueba,mamá,1.60245
Desaprueba,título,1.60245
Desaprueba,sacando,1.60243
Desaprueba,privilegiada,1.5988
Desaprueba,35,1.59854
Desaprueba,bacantes,1.59854
Desaprueba,concreta,1.59854
Desaprueba,desicion,1.59854
Desaprueba,firma,1.59854
Desaprueba,serrada,1.59854
Desaprueba,subdirectores,1.59854
Desaprueba,formas,1.5965
Desaprueba,normativa,1.59409
Desaprueba,comunicacion,1.59041
Desaprueba,riquezas,1.5904
Desaprueba,comercial,1.58849
Desaprueba,carrera,1.58568
Desaprueba,presentado,1.58546
Desaprueba,elecciones,1.58478
Desaprueba,llegado,1.58244
Desaprueba,memoria,1.57863
Desaprueba,complicada,1.57732
Desaprueba,región,1.57646
Desaprueba,dirigir,1.57484
Desaprueba,salir,1.57198
Desaprueba,entro,1.5691
